position_start,position_end,length,field_name,description,version,values_summary,notes
1,4,4,DATAYEAR,Year of Delivery (Data Year),1989,1992,
5,5,1,TABFLAG,Tabulation Inclusion Flag,1989,1=Under 20 wk (exclude); 2=20 wk or more (include),NVSR-tabulated subset is TABFLAG='2'
6,6,1,RECTYPE,Record Type,1989,1=Residents; 2=Nonresidents,Based on occurrence vs residence state/county
7,7,1,RESTATUS,Resident Status,1989,1=Residents; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident,Exclude '4' for U.S.-resident tabulations
8,8,1,PLDEL,Place of Delivery,1989,1=Hospital; 2=Doctor/home/public/etc; 3=En route; 9=Unknown,
9,9,1,PLDEL2,Place of Delivery Recode,1989,1=In hospital; 2=Not in hospital (incl unknown),
10,10,1,FATTND,Attendant at Delivery,1989,1=MD; 2=DO; 3=CNM; 4=Other midwife; 5=Other; 9=Unknown,
11,11,1,FATTNDR,Attendant at Delivery Recode,1989,1=Physician; 2=Midwife; 3=Other; 9=Unknown,
12,12,1,REGNOCC,Region of Occurrence,1989,1=Northeast; 2=Midwest; 3=South; 4=West,Part of FOCCUR 12-27 umbrella
13,13,1,DIVOCC,Division of Occurrence,1989,1-9 per NCHS division codes,PDF OCR shows 'Drvocc'; corrected to DIVOCC
14,14,1,STSDBOCC,State Subcode of Occurrence,1989,State subcode within division,
15,16,2,STFETEXP,Expanded State of Occurrence,1989,01-52 incl separate 34=New York City,Identifies NYC separately from rest of NY State
17,18,2,STATEFET,State of Occurrence,1989,01-51 (50 states + DC; NY combined),NCHS state code
19,21,3,CNTYFET,County of Occurrence,1989,001-nnn NCHS county codes within state,100K+ counties only (1980 census)
22,23,2,STOCCFIP,FIPS State of Occurrence,1989,FIPS state code,
24,26,3,CNTOCFIP,FIPS County of Occurrence,1989,FIPS county code,
27,27,1,CNTOCPOP,Population Size of County of Occurrence,1989,0=1M+; 1=500K-1M; 2=250K-500K; 3=100K-250K; 9=<100K,Based on 1980 Census
28,28,1,REGNRES,Region of Residence,1989,1=Northeast; 2=Midwest; 3=South; 4=West,Part of FRESID 28-59 umbrella
29,29,1,DIVRES,Division of Residence,1989,1-9 per NCHS division codes,
30,30,1,STSUBRES,State Subcode of Residence,1989,State subcode within division,
