position_start,position_end,length,field_name,description,version,values_summary,notes
1,6,6,FILLER,Filler,,,
7,7,1,VERSION,Version,"A,S",A=2003 revision; S=1989 revision,
8,9,2,FILLER,Filler,,,
10,10,1,OE_TABFLG,Obstetric Estimate Tabulation Flag,"A,S",1=Under 20 weeks (exclude); 2=20 weeks or more (include),Use with NCHS Standard item
11,14,4,DOD_YY,Delivery Year,"A,S",4-digit year of delivery,
15,16,2,DOD_MM,Delivery Month,"A,S",01-12 Month of delivery,
17,20,4,FILLER,Filler,,,
21,24,4,DOD_TT,Delivery Time,A,0000-2359 Time of birth; 9999=Not stated,Reporting flag c409
25,25,1,DOD_WK,Weekday,"A,S",1=Sunday through 7=Saturday,
26,27,2,OSTATE,Territory of Occurrence,"A,S",AS=American Samoa; GU=Guam; MP=Northern Marianas; PR=Puerto Rico; VI=Virgin Islands,Territory file only; not available in U.S. file
28,29,2,FILLER,Filler,,,
30,32,3,OCNTYFIPS,Occurrence FIPS County,"A,S","000=No county; 001-998=County of occurrence; 999=County <100,000","Territory file only; suppressed if pop <100,000"
33,33,1,OCNTYPOP,Occurrence Territory County Population,"A,S","0=>=1,000,000; 1=500K-1M; 2=250K-500K; 3=100K-250K; 9=<100,000",Territory file only
34,34,1,BFACIL,Delivery Place (Revised),A,1=Hospital; 2=Freestanding Birth Center; 3=Home(intended); 4=Home(not intended); 5=Home(unknown); 6=Clinic/Doctor's Office; 7=Other; 9=Unknown,Reporting flag 409
35,51,17,FILLER,Filler,,,
52,52,1,BFACIL3,Delivery Place Recode,"A,S",1=In Hospital; 2=Not in Hospital; 3=Unknown/not stated,
53,83,31,FILLER,Filler,,,
84,84,1,MAGE_IMPFLG,Mother's Age Imputed,"A,S",Blank=Age not imputed; 1=Age imputed,
85,85,1,MAGE_REPFLG,Reported Age of Mother Flag,"A,S",Blank=Reported age not used; 1=Reported age used,
86,87,2,MAGER,Mother's Single Year of Age,"A,S",12=12 and under; 13-49=Single year; 50=50 and over,Reporting flag 432
88,89,2,MAGER14,Mother's Age Recode 14,"A,S",01=Under 15; 03=15; 04=16; 05=17; 06=18; 07=19; 08=20-24; 09=25-29; 10=30-34; 11=35-39; 12=40-44; 13=45-49; 14=50-54,Reporting flag 432
90,90,1,MAGER9,Mother's Age Recode 9,"A,S",1=Under 15; 2=15-19; 3=20-24; 4=25-29; 5=30-34; 6=35-39; 7=40-44; 8=45-49; 9=50-54,Reporting flag 432
91,92,2,MBCNTRY,Mother's Birth Country,A,AA-ZZ See Geographic Documentation,Territory file only; reporting flag c409
93,96,4,FILLER,Filler,,,
97,97,1,MBSTATE_REC,Mother's Birth State Recode,A,1=Native born (50 US States); 2=Foreign born (incl territories); 3=Unknown or Not Stated,Reporting flag c409
98,101,4,FILLER,Filler,,,
102,103,2,MRSTATEPSTL,Mother's Residence Postal State,"A,S",2-letter state/territory/Canadian province code; XX=Foreign; ZZ=Not Classifiable,Territory file only
104,106,3,MRCNTYFIPS,Mother's FIPS County of Residence,"A,s","000=No county; 001-998=County of residence; 999=County <100,000","Territory file only; suppressed if pop <100,000"
107,111,5,FILLER,Filler,,,
112,112,1,RCNTY_POP,Population of Residence County,"A,S","0=>=1,000,000; 1=500K-1M; 2=250K-500K; 3=100K-250K; 9=<100,000; Z=Foreign resident",Territory file only
113,129,17,FILLER,Filler,,,
130,130,1,RECTYPE,Record Type,"A,S",1=Resident (same state/county); 2=Nonresident (different state/county),Territory file only
131,131,1,RESTATUS,Residence Status,"A,S",1=Resident; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident,
132,133,2,MRACE31,Mother's Race Recode 31,A,"01-31 Race recode (31 categories, single and multi-race)",Reporting flag 425
134,134,1,MRACE6,Mother's Race Recode 6,A,1=White; 2=Black; 3=AIAN; 4=Asian; 5=NHOPI; 6=More than one race,Reporting flag 425
135,136,2,MRACE15,Mother's Race Recode 15,A,01=White; 02=Black; 03=AIAN; 04=Asian Indian; 05=Chinese; 06=Filipino; 07=Japanese; 08=Korean; 09=Vietnamese; 10=Other Asian; 11=Hawaiian; 12=Guamanian; 13=Samoan; 14=Other PI; 15=More than one race,Reporting flag 425
137,137,1,FILLER,Filler,,,
138,138,1,MRACEIMP,Mother's Race Imputed,"A,S",Blank=Not imputed; 1=Unknown race imputed; 2=All other races imputed,
139,141,3,FILLER,Filler,,,
142,142,1,UMHISP,Mother's Hispanic Origin,"A,S",0=Non-Hispanic; 1=Mexican; 2=Puerto Rican; 3=Cuban; 4=Central/South American; 5=Other/Unknown Hispanic; 9=Origin unknown/not stated,Reporting flag 424
143,143,1,MHISPX,Mother's Hispanic Origin (expanded),,0=Non-Hispanic; 1=Mexican; 2=Puerto Rican; 3=Cuban; 4=Central/South American; 5=Dominican; 6=Other/Unknown Hispanic; 9=Origin unknown/not stated,
144,144,1,SR_MRACEHISP,Mother's Race/Hispanic Origin,A,1=NH White; 2=NH Black; 3=NH AIAN; 4=NH Asian; 5=NH NHOPI; 6=NH more than one race; 7=Hispanic; 8=Origin unknown/not stated,Reporting flag c425
145,145,1,MEDUC,Mother's Education (Revised),A,1=8th grade or less; 2=9-12th no diploma; 3=HS grad/GED; 4=Some college; 5=Associate; 6=Bachelor's; 7=Master's; 8=Doctorate/Professional; 9=Unknown,Reporting flag 372
146,171,26,FILLER,Filler,,,
172,172,1,FAGERPT_FLG,Father's Reported Age Used,"A,S",Blank=Not used; 1=Father's reported age used,
173,176,4,FILLER,Filler,,,
177,178,2,FAGECOMB,Father's Combined Age,"A,S",09-98=Father's combined age in years; 99=Unknown or not stated,Reporting flag 426
179,180,2,FAGEREC11,Father's Age Recode 11,"A,S",01=Under 15; 02=15-19; 03=20-24; 04=25-29; 05=30-34; 06=35-39; 07=40-44; 08=45-49; 09=50-54; 10=55-98; 11=Not stated,Reporting flag 426
181,182,2,PRIORLIVE,Prior Births Now Living,"A,S",00-30=Number of children still living; 99=Unknown or not stated,Reporting flag 440
183,184,2,PRIORDEAD,Prior Births Now Dead,"A,S",00-30=Number of children dead; 99=Unknown or not stated,Reporting flag 441
185,186,2,FILLER,Filler,,,
187,187,1,LBO_REC,Live Birth Order Recode,"A,S",0-7=Number of live birth order; 8=8 or more; 9=Unknown or not stated,Reporting flag 441
188,196,9,FILLER,Filler,,,
197,199,3,ILLB_R,Interval Since Last Live Birth Recode,A,000-003=Plural delivery; 004-300=Months since last live birth; 888=Not applicable; 999=Unknown or not stated,Reporting flag 427
200,201,2,ILLB_R11,Interval Since Last Live Birth Recode 11,A,00=0-3 months (plural); 01=4-11; 02=12-17; 03=18-23; 04=24-35; 05=36-47; 06=48-59; 07=60-71; 08=72+; 88=Not applicable; 99=Unknown,Reporting flag 427
202,203,2,PRECARE,Month Prenatal Care Began (Revised),A,00=No prenatal care; 01-10=Month prenatal care began; 99=Unknown or not stated,Reporting flag 403
204,204,1,PRECARE_REC,Month Prenatal Care Began Recode (Revised),A,1=1st-3rd month; 2=4th-6th month; 3=7th-final month; 4=No prenatal care; 5=Unknown or not stated,Reporting flag 403
205,228,24,FILLER,Filler,,,
229,229,1,WIC,WIC,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 377
230,231,2,CIG_0,Cigarettes Before Pregnancy,A,00-97=Number of cigarettes daily; 98=98 or more; 99=Unknown or not stated,Reporting flag 405
232,233,2,CIG_1,Cigarettes 1st Trimester,A,00-97=Number of cigarettes daily; 98=98 or more; 99=Unknown or not stated,Reporting flag 406
234,235,2,CIG_2,Cigarettes 2nd Trimester,A,00-97=Number of cigarettes daily; 98=98 or more; 99=Unknown or not stated,Reporting flag 407
236,237,2,CIG_3,Cigarettes 3rd Trimester,A,00-97=Number of cigarettes daily; 98=98 or more; 99=Unknown or not stated,Reporting flag 408
238,238,1,CIG_REC,Cigarette Recode (Revised),A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 374
239,242,4,FILLER,Filler,,,
243,244,2,M_Ht_In,Mother's Height in Inches,A,30-78=Height in inches; 99=Unknown or not stated,Reporting flag 375
245,248,4,BMI,BMI (prepregnancy),A,13.0-69.9=Body Mass Index; 99.9=Unknown or not stated,Reporting flag 445
249,249,1,BMI_R,Body Mass Index Recode (prepregnancy),A,1=Underweight <18.5; 2=Normal 18.5-24.9; 3=Overweight 25.0-29.9; 4=Obesity I 30.0-34.9; 5=Obesity II 35.0-39.9; 6=Extreme Obesity III >=40.0; 9=Unknown or not stated,Reporting flag 445
250,252,3,FILLER,Filler,,,
253,255,3,PWgt_R,Prepregnancy Weight Recode,A,075-375=Weight in pounds; 999=Unknown or not stated,Reporting flag 376
256,256,1,FILLER,Filler,,,
257,257,1,RF_DIAB,Prepregnancy Diabetes,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 378
258,258,1,RF_GEST,Gestational Diabetes,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 379
259,259,1,RF_PHYP,Prepregnancy Hypertension,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 380
260,260,1,RF_GHYP,Gestational Hypertension,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 381
261,261,1,RF_ECLAM,Hypertension Eclampsia,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 382
262,262,1,RF_INFTR,Infertility Treatment,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 383
263,263,1,RF_FEDRG,Fertility Enhancing Drugs,A,Y=Yes; N=No; X=Not applicable; U=Unknown or not stated,Reporting flag 384
264,264,1,RF_ARTEC,Asst. Reproductive Technology,A,Y=Yes; N=No; X=Not applicable; U=Unknown,Reporting flag 385
265,265,1,RF_CESAR,Previous Cesareans,A,Y=Yes; N=No; U=Unknown or not stated,Reporting flag 386
266,267,2,RF_CESARN,Previous Cesareans Number,A,00=None; 01-30=Number of previous cesareans; 99=Unknown or not stated,Reporting flag 387
268,273,6,FILLER,Filler,,,
274,274,1,ME_PRES,Fetal Presentation,A,1=Cephalic; 2=Breech; 3=Other; 9=Unknown or not stated,Reporting flag 388
