position_start,position_end,length,field_name,description,version,values_summary,notes
1,6,6,FILLER,Filler,,,
7,7,1,VERSION,Version,"A,S",A=2003 revision (Revised); S=1989 revision (Unrevised),Indicates which version of US Standard Report of Fetal Death was used
8,9,2,FILLER,Filler,,,
10,10,1,OE_TABFLG,Obstetric Estimate Tabulation Flag,"A,S",1=Under 20 weeks (exclude); 2=20 weeks or more (include),Use with NCHS Standard item
11,14,4,DOD_YY,Delivery Year,"A,S",2014,Year of delivery
15,16,2,DOD_MM,Delivery Month,"A,S",01-12,Month of delivery
17,20,4,FILLER,Filler,,,
21,24,4,DOD_TT,Delivery Time,A,0000-2359=Time of birth; 9999=Not stated,Reporting flag at c372
25,25,1,DOD_WK,Weekday,"A,S",1=Sunday; 2=Monday; 3=Tuesday; 4=Wednesday; 5=Thursday; 6=Friday; 7=Saturday,Day of week of delivery
26,27,2,OSTATE,Territory of Occurrence,"A,S",AS=American Samoa; GU=Guam; MP=Northern Marianas; PR=Puerto Rico; VI=Virgin Islands,Available in territory file only; geographic codes not available in US file
28,29,2,FILLER,Filler,,,
30,32,3,OCNTYFIPS,Occurrence FIPS County,"A,S",000=No county level geography; 001-998=County of occurrence; 999=County <100000,Territory file only; suppressed if pop <100000
33,33,1,OCNTYPOP,Occurrence Territory County Population,"A,S",0=1M+; 1=500K-1M; 2=250K-500K; 3=100K-250K; 9=<100K,Territory file only
34,34,1,BFACIL,Delivery Place (Revised),A,1=Hospital; 2=Freestanding Birth Center; 3=Home (intended); 4=Home (not intended); 5=Home (unknown); 6=Clinic/Doctor Office; 7=Other; 9=Unknown,Reporting flag at 409
35,35,1,UBFACIL,Delivery Place,"A,S",1=Hospital; 2=Freestanding Birthing Center; 3=Clinic/Doctor Office; 4=Residence; 5=Other; 9=Unknown,
36,51,16,FILLER,Filler,,,
52,52,1,BFACIL3,Delivery Place Recode,"A,S",1=In Hospital; 2=Not in Hospital; 3=Unknown/not stated,
53,83,31,FILLER,Filler,,,
84,84,1,MAGE_IMPFLG,Mother's Age Imputed,"A,S",Blank=Age not imputed; 1=Age imputed,
85,85,1,MAGE_REPFLG,Reported Age of Mother Flag,"A,S",Blank=Reported age not used; 1=Reported age used,
86,87,2,MAGER,Mother's Single Year of Age,"A,S",12=12 years and under; 13-49=Single year; 50=50 years and over,Reporting flag at 432
88,89,2,MAGER14,Mother's Age Recode 14,"A,S",01=Under 15; 03=15; 04=16; 05=17; 06=18; 07=19; 08=20-24; 09=25-29; 10=30-34; 11=35-39; 12=40-44; 13=45-49; 14=50-54,Reporting flag at 432
90,90,1,MAGER9,Mother's Age Recode 9,"A,S",1=Under 15; 2=15-19; 3=20-24; 4=25-29; 5=30-34; 6=35-39; 7=40-44; 8=45-49; 9=50-54,Reporting flag at 432
91,92,2,MBCNTRY,Mother's Birth Country,A,AA-ZZ=See Geographic Documentation,Territory file only; reporting flag at c372
93,96,4,FILLER,Filler,,,
97,97,1,MBSTATE_REC,Mother's Birth State Recode,A,1=Native born (50 US States); 2=Foreign born (includes territories); 3=Unknown or not stated,Reporting flag at c372
98,101,4,FILLER,Filler,,,
102,103,2,MRSTATEPSTL,Mother's Residence Postal State,"A,S",Two-letter state/territory/Canadian province codes; XX=Foreign; ZZ=Not classifiable,"Territory file only; US states, territories, Canadian provinces"
104,106,3,MRCNTYFIPS,Mother's FIPS County of Residence,"A,s",000=No county level geography; 001-998=County of residence; 999=County <100000,Territory file only; suppressed if pop <100000
107,111,5,FILLER,Filler,,,
112,112,1,RCNTY_POP,Population of Residence County,"A,S",0=1M+; 1=500K-1M; 2=250K-500K; 3=100K-250K; 9=<100K; Z=Foreign resident,Territory file only
113,129,17,FILLER,Filler,,,
130,130,1,RECTYPE,Record Type,"A,S",1=Resident (state/county same); 2=Nonresident (different),Territory file only
131,131,1,RESTATUS,Residence Status,"A,S",1=Resident; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident,Territory values differ slightly
132,133,2,MRACE31,Mother's Race Recode 31,A,01=White alone; 02=Black alone; 03=AIAN alone; 04=Asian alone; 05=NHOPI alone; 06-31=Multi-race combinations,Reporting flag at 425; 31 race categories
134,134,1,MRACE6,Mother's Race Recode 6,A,1=White alone; 2=Black alone; 3=AIAN alone; 4=Asian alone; 5=NHOPI alone; 6=More than one race,Reporting flag at 425
135,136,2,MRACE15,Mother's Race Recode 15,A,01=White alone; 02=Black alone; 03=AIAN alone; 04-14=Detailed Asian/NHOPI; 15=More than one race,Reporting flag at 425
137,137,1,MRACEREC,Mother's Bridged Race Recode,"A,S",1=White; 2=Black; 3=AIAN; 4=Asian or Pacific Islander,Reporting flag at 439
138,138,1,MRACEIMP,Mother's Race Imputed,"A,S",Blank=Not imputed; 1=Unknown race imputed; 2=All other races imputed,
139,141,3,FILLER,Filler,,,
142,142,1,UMHISP,Mother's Hispanic Origin,"A,S",0=Non-Hispanic; 1=Mexican; 2=Puerto Rican; 3=Cuban; 4=Central/South American; 5=Other/Unknown Hispanic; 9=Unknown/not stated,Reporting flag at 424
143,143,1,MRACEHISP,Mother's Bridged Race/Hispanic Origin,"A,S",1=Mexican; 2=Puerto Rican; 3=Cuban; 4=Central/South American; 5=Other Hispanic; 6=Non-Hisp White; 7=Non-Hisp Black; 8=Non-Hisp Other; 9=Unknown,Reporting flag at 424
144,144,1,SR_MRACEHISP,Mother's Race/Hispanic Origin,A,1=Non-Hisp White alone; 2=Non-Hisp Black alone; 3=Non-Hisp AIAN alone; 4=Non-Hisp Asian alone; 5=Non-Hisp NHOPI alone; 6=Non-Hisp multi-race; 7=Hispanic; 8=Unknown,Reporting flag at c425
145,145,1,MEDUC,Mother's Education (Revised),A,1=8th grade or less; 2=9-12th no diploma; 3=HS graduate/GED; 4=Some college; 5=Associate degree; 6=Bachelor's; 7=Master's; 8=Doctorate/Professional; 9=Unknown,Reporting flag at 372
146,171,26,FILLER,Filler,,,
172,172,1,FAGERPT_FLG,Father's Reported Age Used,"A,S",Blank=Father's reported age not used; 1=Father's reported age used,
173,176,4,FILLER,Filler,,,
177,178,2,FAGECOMB,Father's Combined Age,"A,S",09-98=Father's combined age in years; 99=Unknown or not stated,Reporting flag at 426
