position_start,position_end,length,field_name,description,applies_to,values_summary,notes
1,1,1,BIRTHID,Birth ID record category,all,"1=Live multiple birth survived first year; 2=Live multiple birth did not survive first year; 3=Fetal death",
2,5,4,RESERVED_2_5,Reserved positions,all,Reserved (blank),
6,6,1,TABFLAG,Tabulation inclusion flag,all,"Blank=Live births; 1=Fetal deaths under 20 weeks (excluded); 2=Fetal deaths 20+ weeks (included)",NVSR tabulations of fetal deaths use TABFLAG=2
7,7,1,PLURALITY,Plurality,all,"2=Twin; 3=Triplet",1995-1997 public file limited to twins+triplets (no quadruplets per confidentiality)
8,13,6,SETID,Set identification number,all,000001-999999,Unique per multiple-delivery set
14,14,1,SEQNO,Sequence number within set,all,1-3,For complete sets only
15,20,6,RESERVED_15_20,Reserved positions,all,Reserved (blank),
21,21,1,PLUIMP,Plurality imputation flag,all,"0=Not imputed; 1=Imputed",
22,22,1,FLGCOMP,Set completeness flag,all,"0=Complete set; 1=Incomplete set (not applicable to twins); 2=Unmatched",
23,23,1,FLGRECS,Number of records in set (read flag),all,"2-3=plurality (complete); 1-2=count (incomplete); 1=single unmatched",
24,24,1,SETORDER,Set birth order,all,"0=Single unmatched; 1-3=order within set; 9=Not stated",
25,25,1,RECTYPE,Record type,all,"1=Resident (state+county of occurrence=residence); 2=Nonresident",
26,26,1,RESTATUS,Resident status,all,"1=Resident; 2=Intrastate nonresident; 3=Interstate nonresident; 4=Foreign resident",Canonical filter excludes RESTATUS=4 for US-resident tabulations
27,27,1,PLDEL,Place or facility of birth,all,"1=Hospital; 2=Freestanding Birthing Center; 3=Clinic or Doctor's Office; 4=A Residence; 5=Other; 9=Unknown",
28,28,1,BIRATTND,Attendant at birth,all,"1=MD; 2=DO; 3=CNM; 4=Other midwife; 5=Other; 9=Unknown",
29,38,10,RESERVED_29_38,Reserved positions,all,Reserved (blank),
39,39,1,MAGERFLG,Reported age of mother used flag,all,"Blank=Reported age not used; 1=Reported age used",Used when computed age unavailable or outside 10-49 range
40,40,1,MAGEIMP,Age of mother imputation flag,all,"Blank=Not imputed; 1=Imputed",
41,42,2,DMAGE,Age of mother (final),all,"15=Under 15; 16-49=single years; 50=50+ (1997 only)",NCHS-publications age item
43,45,3,RESERVED_43_45,Reserved positions,all,Reserved (blank),
46,46,1,ORRACEM,Hispanic origin and race of mother (recode),all,"1=Total Hispanic; 2=NH White; 3=NH Black; 4=NH other races; 9=Origin unknown",Origin not reported by all areas for fetal deaths; see reporting flags
47,47,1,MRACEIMP,Race of mother imputation flag,all,"Blank=Not imputed; 1=Unknown race imputed; 2=All other races (formerly code 09) imputed",
48,49,2,MRACE,Race of mother,all,"01=White; 02=Black; 03=Other races",
50,57,8,RESERVED_50_57,Reserved positions,all,Reserved (blank),
58,59,2,DMEDUC,Education of mother (detail),all,"00=No formal education; 01-08=Years of elementary school; 09=1yr HS; 10=2yr HS; 11=3yr HS; 12=4yr HS; 13=1yr college; 14=2yr college; 15=3yr college; 16=4yr college; 17=5+ yr college; 99=Not stated",
60,60,1,MEDUC6,Education of mother (recode),all,"1=0-8yr; 2=9-11yr; 3=12yr; 4=13-15yr; 5=16+yr; 6=Not stated",
61,61,1,DMARIMP,Marital status of mother imputation flag,all,"Blank=Not imputed; 1=Imputed",Not applicable to fetal deaths
62,62,1,DMAR,Marital status of mother,all,"1=Married; 2=Unmarried; 9=Unknown or not stated",
63,63,1,MPLBIRR,Place of birth of mother (recode),all,"1=Native born; 2=Foreign born; 3=Unknown or not stated",
64,65,2,DMAGERPT,Reported age of mother,all,"15=Under 15; 16-49=single years; 50=50+ (1997 only); 99=Unknown",
66,67,2,DLIVORD,Detail live birth order,all,"00-31=children born alive; 99=Unknown",Live births now living + now dead + 1
68,68,1,LIVORD9,Live birth order (recode),all,"1-8=order (8=8+); 9=Unknown or not stated",
69,70,2,DTOTORD,Detail total birth order,all,"01-40=total live births + other terminations; 99=Unknown",
71,71,1,TOTORD9,Total birth order (recode),all,"1-8=order (8=8+); 9=Unknown or not stated",
72,73,2,MONPRE,Detail month prenatal care began,all,"00=No prenatal care; 01-09=Month began; 99=Unknown",
74,75,2,NPREVIST,Total number of prenatal visits,all,"00=No visits; 01-48=count; 49=49+; 99=Unknown",
76,83,8,RESERVED_76_83,Reserved positions,all,Reserved (blank),
84,84,1,FAGERFLG,Reported age of father used flag,all,"Blank=Reported age not used; 1=Reported age used",
85,86,2,DFAGE,Age of father,all,"19=Under 20; 20-59=single years; 60=60+; 99=Unknown",
87,88,2,FRACE,Race of father,all,"01=White; 02=Black; 03=Other races; 99=Unknown or not stated",
89,90,2,DFAGERPT,Reported age of father,all,"19=Under 20; 20-59=single years; 60=60+; 99=Unknown",
91,91,1,FRACEIMP,Race of father imputation flag,all,"Blank=Race not changed; 3=All other races (formerly code 09) changed to code 99",Unknown race not imputed
92,99,8,RESERVED_92_99,Reserved positions,all,Reserved (blank),
100,100,1,GESTESTM,Clinical estimate of gestation used flag,all,"Blank=Clinical estimate not used; 1=Used",Flagged when computed gestation outside 17-47 range
101,101,1,GESTIMP,Gestation imputation flag,all,"Blank=Not imputed; 1=Imputed",
102,103,2,GESTAT,Gestation (detail in weeks),all,"17-47=weeks; 99=Unknown",NCHS-publications gestation item
104,104,1,CSEXIMP,Sex imputation flag,all,"Blank=Not imputed; 1=Imputed",
105,105,1,CSEX,Sex,all,"1=Male; 2=Female; 9=Unknown (fetal deaths <20 weeks only)",
106,109,4,DBIRWT,Birth weight (detail in grams),all,"0227-8165=grams; 9999=Not stated",
110,111,2,BIRWT12,Birth weight recode 12,all,"01=499g or less; 02=500-999g; 03=1000-1499g; 04=1500-1999g; 05=2000-2499g; 06=2500-2999g; 07=3000-3499g; 08=3500-3999g; 09=4000-4499g; 10=4500-4999g; 11=5000-8165g; 12=Not stated",
112,113,2,FMAPS,5-minute APGAR score,all,"00-10=score; 99=Unknown",Not reported by all areas; see reporting flags
114,114,1,FMAPSR,5-minute APGAR score recode,all,"1=0-3; 2=4-6; 3=7-8; 4=9-10; 5=Not stated",
115,116,2,CLINGEST,Clinical estimate of gestation,all,"17-47=weeks; 99=Unknown","Empirically verified 2-byte at C8.16 DO sub-step 2 (resolves 2026-05-14T03:30:00Z residual risk a). 1995-1997 PDF lists 'position 115 [CLINGEST]' then 'position 116 [DELMETH]'; the 'position 116 DELMETH' entry is the descriptive umbrella header for the composite at 117-123 and does not occupy a separate byte."
117,117,1,VAGINAL,Vaginal,all,"1=Used; 2=Not used; 8=Not on certificate; 9=Unknown",
118,118,1,VBAC,Vaginal birth after previous C-section,all,"1=Used; 2=Not used; 8=Not on certificate; 9=Unknown",
119,119,1,PRIMAC,Primary C-section,all,"1=Used; 2=Not used; 8=Not on certificate; 9=Unknown",
120,120,1,REPEAC,Repeat C-section,all,"1=Used; 2=Not used; 8=Not on certificate; 9=Unknown",
121,121,1,FORCEP,Forceps,all,"1=Used; 2=Not used; 8=Not on certificate; 9=Unknown",
122,122,1,VACUUM,Vacuum,all,"1=Used; 2=Not used; 8=Not on certificate; 9=Unknown",
123,123,1,HYSTER,Hysterotomy/Hysterectomy,FD,"1=Used; 2=Not used; 8=Not on certificate; 9=Unknown",Fetal deaths only
124,124,1,DELMETH6,Method of delivery (recode),all,"1=Vaginal (excl after C-section); 2=Vaginal after previous C-section; 3=Primary C-section; 4=Repeat C-section; 5=Not stated; 6=Hysterotomy/Hysterectomy (fetal deaths only)",
